dates,opens,highs,lows,closes,vols,results
20210210,125500,127000,124500,126000,4262526,0
20210209,127500,130000,125000,125500,5177095,1
20210208,127500,128000,125000,125000,2876471,0
20210205,126500,128000,124500,127500,3497303,0
20210204,127500,128500,124000,125000,4600618,1
20210203,131000,131500,128500,130000,3693688,1
20210202,128500,132500,127000,130000,4880067,1
20210201,121000,126000,118000,125000,5620305,0
20210129,128500,128500,121500,122500,7391307,1
20210128,124000,125500,121500,123000,6270829,0
20210127,129500,132000,127500,128500,5068456,1
20210126,134000,134000,128500,129000,6270106,1
20210125,130000,135000,129500,135000,5061864,1
20210122,131500,132000,128500,128500,3927767,0
20210121,131500,133000,130000,131500,3067677,1
20210120,134000,135000,130000,130500,4913282,1
20210119,131000,132000,128500,130500,4513315,0
20210118,126000,131000,125000,130000,5927419,0
20210115,133000,135000,127000,127500,4838114,1
20210114,132500,133000,129000,130500,5380278,0
20210113,129000,133500,128500,133000,6791044,1
20210112,132000,133500,125500,129000,8700877,0
20210111,138000,140000,131000,133000,11154671,1
20210108,136000,138000,132500,138000,8713010,0
20210107,132500,137500,131500,134500,5981299,0
20210106,132500,137000,130000,131000,8525749,0
20210105,124500,132500,124000,130500,7180224,0
20210104,124500,128000,120500,126000,7995016,0
20201230,116000,118500,114500,118500,4195192,0
20201229,118000,118500,114000,116000,4208916,0
20201228,119000,119500,115000,115500,4825132,1
20201224,116000,118500,115500,118000,3486636,0
20201223,113000,116000,112500,116000,3173156,0
20201222,115000,115500,112500,112500,4270842,0
20201221,118000,118000,114500,116000,3585805,1
20201218,118500,119000,117500,118500,3010798,1
20201217,118500,119500,117000,119500,3649945,1
20201216,119000,119500,117000,117500,2213552,0
20201215,118500,118500,115000,117500,2755902,0
20201214,116000,119000,115500,117000,3066761,1
20201211,118000,118000,115000,115500,3944552,0
20201210,117000,118500,115500,116500,8205744,1
20201209,116000,121000,115000,120500,5490760,1
20201208,118000,118000,114000,115000,4536460,0
20201207,118500,120000,116000,118000,5191354,1
20201204,116000,119500,112500,115000,8258814,0
20201203,110500,114500,109000,111500,6617912,0
20201202,103000,109500,103000,109000,7488361,0
20201201,98600,101500,97800,100500,4455519,0
20201130,99700,99800,97300,97500,3877841,0
20201127,99600,99900,98200,98800,1976047,1
20201126,96800,99500,96300,99400,2933290,0
20201125,100500,100500,96300,97200,4081524,1
20201124,101000,102000,98300,98600,3766043,1
20201123,97300,101000,96600,100000,4149013,0
20201120,99000,99000,96800,96800,2424003,0
20201119,96200,98300,96000,98200,2766688,0
20201118,99800,100500,96600,98000,3734037,1
20201117,97400,99600,96500,98100,5218295,0
20201116,92100,98100,91100,98000,9274278,0
20201113,88100,90000,87500,89700,3774278,0
20201112,87600,88400,87000,88100,4006433,0
20201111,86100,87200,85900,87000,2638617,0
20201110,86900,87200,85900,86500,2849783,0
20201109,86500,87300,85600,86000,2444330,1
20201106,86500,87700,86000,86300,2863808,1
20201105,84100,86200,83300,86100,4082325,0
20201104,82100,84400,81200,83200,3782296,0
20201103,79600,81400,79600,81400,2057723,0
20201102,80200,80600,79200,79600,2000394,0
20201030,81600,82100,79900,79900,2710477,1
20201029,81900,82400,81000,81700,2637314,1
20201028,82100,83600,82000,82900,1773556,1
20201027,82300,83400,81800,82600,2265817,0
20201026,84300,84700,83000,83200,1662847,1
20201023,82800,84700,82300,83900,2609595,0
20201022,84200,84300,82500,83300,2593975,0
20201021,85300,86200,82800,83800,4925877,1
20201020,85300,90900,83700,85200,6622637,1
20201019,86100,87900,85800,86700,3150011,0
20201016,87000,87900,84900,85300,2435541,0
20201015,86100,87300,85900,87100,2802900,0
20201014,88000,88900,86100,86500,3223767,1
20201013,85500,89000,84600,88200,6375448,1
20201012,83900,85500,83500,85500,4464264,0
20201008,84300,84500,82900,82900,3330824,0
20201007,82900,83700,82500,83400,2254356,0
20201006,84000,84200,82600,83000,2750145,1
20201005,83000,84100,82300,83200,3396894,0
20200929,83100,84900,82200,84000,4707898,1
20200928,83400,83700,81300,82500,3154068,0
20200925,85800,85900,82200,82900,3205596,1
20200924,82800,85400,82300,84300,6401560,0
20200923,82300,84800,80500,83600,4439085,0
20200922,84400,84800,80200,81300,4139983,0
20200921,83700,85000,83600,84500,4102947,1
20200918,82900,83900,82200,83700,5199334,0
20200917,81900,82900,81200,82200,4055050,0
20200916,81700,82400,80500,81500,3119110,0
20200915,81300,82100,80200,81900,5899410,0
20200914,79100,80100,78900,80000,4099644,0
20200911,76700,78500,76300,78400,2831262,0
20200910,78000,78200,76600,76600,3541520,0
20200909,77900,78400,77200,77300,3918435,1
20200908,78700,80000,78200,79400,3380355,1
20200907,78600,79500,77600,78400,2786930,0
20200904,76400,79400,76100,78700,4582566,0
20200903,77700,79700,77200,78700,7002529,1
20200902,75900,76400,74900,75500,2369360,0
20200901,75200,76500,75200,75200,2538676,1
20200831,78200,78800,75100,75100,5113128,1
20200828,79500,79600,77700,77800,2511956,1
20200827,80200,80200,78800,79100,4223450,1
20200826,78000,79100,77100,78800,4741965,0
20200825,76300,77700,75400,77000,3473488,0
20200824,74600,77200,73700,75500,4298619,0
20200821,72800,77000,72500,74500,7700029,0
20200820,74400,74400,71300,71800,7260223,0
20200819,77300,78000,75000,75000,8028305,1
20200818,80000,80200,78000,78100,4946279,1
20200814,80200,81100,80100,80200,2589552,1
20200813,81900,82000,80300,80700,4049387,1
20200812,81100,81300,80200,81000,3595828,0
20200811,81700,82000,81000,81300,3234013,1
20200810,80100,81900,79800,81400,3277238,0
20200807,81200,81300,80000,80600,4946631,0
20200806,80700,81900,80700,81100,3391939,1
20200805,81200,81300,80500,80700,4537005,0
20200804,81800,82500,81400,81600,3005937,1
20200803,82400,82600,81500,81800,3483106,1
20200731,85700,86000,82800,82800,4848989,1
20200730,83300,86400,83000,85300,6870841,1
20200729,82900,83800,82600,83200,3719681,0
20200728,83900,83900,82700,83100,4538720,1
20200727,83100,84000,82800,82800,2784652,1
20200724,82300,83700,82200,83700,3667416,0
20200723,84000,84000,82300,82400,3591647,1
20200722,84100,84200,82900,83200,2876295,1
20200721,83400,84700,83000,84100,4181015,1
20200720,82800,83000,82100,82200,2008624,0
20200717,82700,83500,82600,82900,1579078,1
20200716,83000,83100,82300,82700,2312310,0
20200715,83100,83900,82900,83000,3024429,1
20200714,82600,82900,82000,82900,2048671,0
20200713,83100,83500,82500,83000,2080934,1
20200710,83300,83500,82400,82800,2201557,0
20200709,84200,84600,83000,83000,4002365,1
20200708,83800,84900,83600,83700,3523620,1
20200707,87300,87300,84600,84800,3196352,1
20200706,86000,87000,85800,86000,2561766,0
20200703,85000,85600,84500,85400,2195897,0
20200702,84800,85200,84000,84400,3295340,0
20200701,86800,87300,84900,85300,2382552,1
20200630,86200,87300,85000,85100,4983607,0
20200629,84000,85300,83500,83600,2932433,0
20200626,86000,86100,84500,84600,2889494,1
20200625,84300,85600,84000,84300,3397112,0
20200624,84200,87400,84000,86000,4079834,1
20200623,85600,86200,83900,84100,2955819,0
20200622,84400,85900,84300,84900,2167216,0
20200619,86500,87000,84500,85400,3216102,1
20200618,86100,86800,85400,86200,2484147,0
20200617,84800,87400,83500,86800,4160612,1
20200616,83400,85700,83300,85400,3518785,0
20200615,84100,86500,82000,82000,4710114,1
20200612,84500,85800,84500,85200,4742329,0
20200611,89300,90300,87500,88500,5467344,1
20200610,89800,91100,89400,90800,3045250,1
20200609,91000,92000,89100,89800,3410081,1
20200608,93000,93000,90600,91000,3789382,1
20200605,88500,90800,87700,90400,4000557,0
20200604,90000,91600,87100,87700,6678244,1
20200603,83400,89200,83400,88700,11642239,0
20200602,82700,83600,82700,83300,3114162,0
20200601,82100,83700,82100,83600,4205357,1
20200529,82600,82700,81300,81500,6815185,0
20200528,84100,85400,82400,83900,9227823,1
20200527,81100,82700,81000,81400,2946278,0
20200526,80600,82100,80600,81900,3040122,0
20200525,81500,81800,80500,81400,2850294,0
20200522,83100,83300,81000,81300,3471700,1
20200521,84900,84900,83200,83400,2678953,1
20200520,81900,84200,81800,84100,3924403,0
20200519,82400,83200,81700,82700,4620614,0
20200518,80400,81800,79200,81100,5294177,0
20200515,81500,82300,80700,81900,4168866,1
20200514,82200,82500,80600,80600,6409652,1
20200513,83500,84100,83000,83600,5371416,1
20200512,84500,86500,83200,85700,3574409,1
20200511,84500,85200,84100,84500,2800047,0
20200508,83000,85500,83000,85000,5039635,1
20200507,82400,83400,81800,82400,2660512,0
20200506,82000,82500,80900,82400,3351424,0
20200504,82900,82900,80800,81000,5280026,1
20200429,83500,84800,82900,83700,3750568,1
20200428,82500,83900,82400,83400,3205535,0
20200427,81700,83200,81200,82600,3235430,0
20200424,82000,82500,80800,81400,3193144,0
20200423,85200,85200,82000,82600,6519481,1
20200422,80600,83900,80000,83900,5335787,0
20200421,80600,82200,80200,81300,5090721,0
20200420,83900,83900,82000,82000,5027876,1
20200417,83600,85900,83200,84100,6205624,1
20200416,80600,82300,80600,81300,4470072,0
20200414,82200,83700,81200,82300,3344109,1
20200413,83200,83400,81100,81400,3615318,0
20200410,84000,84400,83000,84100,3675338,1
20200409,86200,86500,84500,85000,3555538,1
20200408,85800,86500,84500,84500,3749575,0
20200407,86600,86700,83700,85800,6188649,1
20200406,81000,83300,80200,83100,5784159,0
20200403,80000,80800,78500,79600,3755301,0
20200402,78800,80000,76500,80000,5394371,0
20200401,82100,83200,78400,78400,6845675,1
20200331,84000,85500,82000,83300,5333479,1
20200330,81000,84900,80000,83700,5270037,0
20200327,85700,85700,80500,83300,8085695,1
20200326,85000,87900,80400,80700,7895289,1
20200325,82000,84700,79800,84500,8787217,0
20200324,73000,78800,72100,78700,7247345,0
20200323,69700,71600,68000,69400,8192363,0
20200320,71800,76200,70100,74800,8750101,1
20200319,75500,75800,65800,69000,11140367,0
20200318,81600,82500,73000,73100,7949482,1
20200317,77500,83100,77000,80400,7107436,1
